model,accuracy,precision,recall,f1,roc_auc,fit_seconds
Logistic Regression,0.7530163236337828,0.524074074074074,0.7566844919786097,0.6192560175054704,0.8394972745356377,0.5111137999997482
Random Forest,0.7012065294535131,0.4637904468412943,0.8048128342245989,0.5884652981427175,0.8064920302771965,0.5574354000000312
XGBoost,0.7501774308019872,0.52,0.7647058823529411,0.6190476190476191,0.8387351778656126,5.792593900000156
