Model,Precision,Recall,F1-Score,Accuracy,ROC-AUC
Logistic Regression (Standard),0.6733,0.5401,0.5994,0.8084,0.8474
Logistic Regression (Balanced),0.4983,0.7968,0.6132,0.7331,0.8483
